일시,광진구,동대문구,성동구,중랑구,gw_sub,dd_sub,sd_sub,gr_sub,sunday,mon_1,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
20181227,1.406,0.768,1.12,0.64,316.0,251.49,240.316,183.582,0,0,0,0,0,0,0,0,0,0,0,0,1
20181228,1.158,0.712,1.124,0.526,323.12,259.124,242.782,186.412,0,0,0,0,0,0,0,0,0,0,0,0,1
20181229,0.956,0.59,0.726,0.462,250.776,209.29,149.412,133.176,0,0,0,0,0,0,0,0,0,0,0,0,1
20181230,0.998,0.56,0.746,0.46,193.38,159.674,107.508,99.156,1,0,0,0,0,0,0,0,0,0,0,0,1
20181231,1.394,0.828,1.206,0.604,297.668,256.128,205.226,171.862,0,0,0,0,0,0,0,0,0,0,0,0,1
20190101,1.108,0.618,0.744,0.47,166.754,125.202,83.116,76.644,0,1,0,0,0,0,0,0,0,0,0,0,0
20190102,1.678,1.066,1.514,0.696,300.586,252.464,227.038,177.832,0,1,0,0,0,0,0,0,0,0,0,0,0
20190103,1.906,1.232,1.78,0.762,312.072,262.066,237.968,183.722,0,1,0,0,0,0,0,0,0,0,0,0,0
20190104,2.194,1.202,1.862,0.848,326.526,274.626,245.578,188.826,0,1,0,0,0,0,0,0,0,0,0,0,0
20190105,1.598,0.912,1.094,0.748,263.804,220.782,157.194,139.908,0,1,0,0,0,0,0,0,0,0,0,0,0
20190106,1.398,0.87,1.018,0.604,196.244,166.004,109.452,101.966,1,1,0,0,0,0,0,0,0,0,0,0,0
20190107,2.018,1.164,1.716,0.806,305.592,263.366,235.456,184.574,0,1,0,0,0,0,0,0,0,0,0,0,0
20190108,1.944,1.07,1.68,0.816,310.968,262.82,238.798,183.888,0,1,0,0,0,0,0,0,0,0,0,0,0
20190109,1.944,1.062,1.666,0.792,309.432,252.83,237.164,181.772,0,1,0,0,0,0,0,0,0,0,0,0,0
20190110,2.138,1.22,1.87,0.892,315.228,265.724,241.734,185.514,0,1,0,0,0,0,0,0,0,0,0,0,0
20190111,2.396,1.356,2.064,1.018,328.082,280.046,247.708,191.974,0,1,0,0,0,0,0,0,0,0,0,0,0
20190112,1.908,1.054,1.268,0.798,269.398,231.42,161.006,145.844,0,1,0,0,0,0,0,0,0,0,0,0,0
20190113,1.576,0.862,1.034,0.69,199.204,169.47,108.714,104.826,1,1,0,0,0,0,0,0,0,0,0,0,0
20190114,1.874,1.064,1.616,0.668,301.126,253.856,226.196,180.736,0,1,0,0,0,0,0,0,0,0,0,0,0
20190115,1.798,1.046,1.566,0.67,308.558,259.262,236.624,183.56,0,1,0,0,0,0,0,0,0,0,0,0,0
20190116,2.006,1.068,1.614,0.752,309.08,260.034,238.538,183.216,0,1,0,0,0,0,0,0,0,0,0,0,0
20190117,2.214,1.244,1.9,0.894,315.576,273.39,241.25,186.482,0,1,0,0,0,0,0,0,0,0,0,0,0
20190118,2.266,1.36,1.91,0.864,326.288,283.944,248.26,190.954,0,1,0,0,0,0,0,0,0,0,0,0,0
20190119,1.924,1.016,1.326,0.782,270.456,232.682,163.09,144.808,0,1,0,0,0,0,0,0,0,0,0,0,0
20190120,1.486,0.818,0.932,0.678,201.906,172.398,111.896,106.544,1,1,0,0,0,0,0,0,0,0,0,0,0
20190121,1.972,1.28,1.75,0.766,303.132,261.54,231.926,181.846,0,1,0,0,0,0,0,0,0,0,0,0,0
20190122,2.326,1.408,2.064,0.94,310.55,274.15,240.086,185.0,0,1,0,0,0,0,0,0,0,0,0,0,0
20190123,2.314,1.244,2.022,0.842,315.02,275.06,242.538,186.386,0,1,0,0,0,0,0,0,0,0,0,0,0
20190124,2.242,1.394,2.146,0.96,318.912,276.078,244.284,186.624,0,1,0,0,0,0,0,0,0,0,0,0,0
20190125,2.224,1.29,1.804,0.854,329.954,288.892,251.79,192.37,0,1,0,0,0,0,0,0,0,0,0,0,0
20190126,1.646,0.974,1.278,0.768,272.924,237.946,170.048,145.26,0,1,0,0,0,0,0,0,0,0,0,0,0
20190127,1.564,0.956,1.152,0.58,202.184,179.792,114.35,104.972,1,1,0,0,0,0,0,0,0,0,0,0,0
20190128,1.966,1.22,1.814,0.808,305.068,274.256,235.744,184.948,0,1,0,0,0,0,0,0,0,0,0,0,0
20190129,2.248,1.484,2.036,0.932,312.166,277.852,241.514,185.958,0,1,0,0,0,0,0,0,0,0,0,0,0
20190130,2.534,1.402,2.118,1.052,316.704,282.448,246.416,189.124,0,1,0,0,0,0,0,0,0,0,0,0,0
20190131,2.028,1.332,1.878,0.844,315.384,276.818,241.844,185.876,0,1,0,0,0,0,0,0,0,0,0,0,0
20190201,2.162,1.214,1.764,0.854,318.02,281.614,238.74,188.1,0,0,1,0,0,0,0,0,0,0,0,0,0
20190202,1.66,0.966,1.324,0.736,224.364,214.448,130.652,124.77,0,0,1,0,0,0,0,0,0,0,0,0,0
20190203,0.254,0.182,0.188,0.13,146.326,131.42,83.402,83.078,1,0,1,0,0,0,0,0,0,0,0,0,0
20190204,0.95,0.646,0.774,0.602,118.146,119.89,66.978,72.938,0,0,1,0,0,0,0,0,0,0,0,0,0
20190205,1.058,0.602,0.976,0.564,106.362,100.042,58.376,75.85,0,0,1,0,0,0,0,0,0,0,0,0,0
20190206,1.606,0.854,1.252,0.766,156.778,129.58,85.354,87.532,0,0,1,0,0,0,0,0,0,0,0,0,0
20190207,1.768,0.944,1.468,0.726,290.72,241.912,219.698,174.102,0,0,1,0,0,0,0,0,0,0,0,0,0
20190208,1.808,0.988,1.462,0.742,315.936,256.08,238.64,183.73,0,0,1,0,0,0,0,0,0,0,0,0,0
20190209,1.518,0.862,1.17,0.72,257.216,215.476,154.73,138.104,0,0,1,0,0,0,0,0,0,0,0,0,0
20190210,1.172,0.712,0.798,0.556,193.388,157.348,106.268,102.182,1,0,1,0,0,0,0,0,0,0,0,0,0
20190211,2.042,1.202,1.624,0.774,311.184,263.292,236.606,186.37,0,0,1,0,0,0,0,0,0,0,0,0,0
20190212,2.286,1.32,1.87,0.884,318.868,266.786,244.662,188.808,0,0,1,0,0,0,0,0,0,0,0,0,0
20190213,2.226,1.302,1.994,0.858,323.094,268.26,247.576,189.674,0,0,1,0,0,0,0,0,0,0,0,0,0
20190214,2.292,1.268,2.012,0.804,327.87,271.8,251.114,192.922,0,0,1,0,0,0,0,0,0,0,0,0,0
20190215,1.134,0.664,1.12,0.456,333.67,277.462,257.276,195.566,0,0,1,0,0,0,0,0,0,0,0,0,0
20190216,1.596,0.994,1.228,0.706,303.41,239.186,180.914,152.352,0,0,1,0,0,0,0,0,0,0,0,0,0
20190217,1.742,0.914,1.438,0.75,213.028,177.23,121.148,110.648,1,0,1,0,0,0,0,0,0,0,0,0,0
20190218,2.304,1.478,2.086,0.868,312.9,264.762,240.166,187.884,0,0,1,0,0,0,0,0,0,0,0,0,0
20190219,1.398,0.918,1.098,0.578,313.668,251.108,243.774,188.622,0,0,1,0,0,0,0,0,0,0,0,0,0
20190220,2.302,1.45,2.014,0.968,324.514,271.218,250.758,192.146,0,0,1,0,0,0,0,0,0,0,0,0,0
20190221,2.736,1.52,2.218,1.022,327.714,273.324,253.64,193.336,0,0,1,0,0,0,0,0,0,0,0,0,0
20190222,2.61,1.468,2.26,1.014,352.502,286.704,259.988,198.384,0,0,1,0,0,0,0,0,0,0,0,0,0
20190223,3.04,1.672,2.418,1.104,291.634,246.464,189.344,158.198,0,0,1,0,0,0,0,0,0,0,0,0,0
20190224,3.004,1.418,2.23,1.048,223.764,182.178,128.486,114.37,1,0,1,0,0,0,0,0,0,0,0,0,0
20190225,2.842,1.648,2.36,1.106,317.992,270.68,244.198,191.892,0,0,1,0,0,0,0,0,0,0,0,0,0
20190226,3.36,1.896,2.978,1.304,328.178,272.178,254.676,193.032,0,0,1,0,0,0,0,0,0,0,0,0,0
20190227,3.522,2.004,2.962,1.404,326.486,274.686,252.922,195.458,0,0,1,0,0,0,0,0,0,0,0,0,0
20190228,3.254,1.888,2.682,1.388,336.288,280.182,255.94,198.126,0,0,1,0,0,0,0,0,0,0,0,0,0
20190301,2.734,1.512,2.108,1.142,252.802,216.178,155.168,131.638,0,0,0,1,0,0,0,0,0,0,0,0,0
20190302,3.07,1.648,2.22,1.162,261.738,221.244,154.128,137.714,0,0,0,1,0,0,0,0,0,0,0,0,0
20190303,3.214,1.666,2.32,1.294,210.232,173.3,121.528,110.334,1,0,0,1,0,0,0,0,0,0,0,0,0
20190304,3.62,2.096,2.592,1.404,323.892,265.594,250.088,200.038,0,0,0,1,0,0,0,0,0,0,0,0,0
20190305,3.236,1.9,2.552,1.184,325.214,265.49,250.148,200.182,0,0,0,1,0,0,0,0,0,0,0,0,0
20190306,3.29,2.092,2.566,1.286,328.342,268.96,255.586,199.794,0,0,0,1,0,0,0,0,0,0,0,0,0
20190307,4.146,2.246,3.248,1.594,341.062,280.488,261.324,203.514,0,0,0,1,0,0,0,0,0,0,0,0,0
20190308,4.034,2.206,3.506,1.6,353.928,294.856,270.376,207.224,0,0,0,1,0,0,0,0,0,0,0,0,0
20190309,4.272,2.164,3.21,1.518,306.506,246.34,189.332,158.194,0,0,0,1,0,0,0,0,0,0,0,0,0
20190310,4.158,1.888,3.21,1.534,224.258,175.55,125.32,112.176,1,0,0,1,0,0,0,0,0,0,0,0,0
20190311,3.746,2.256,3.156,1.544,326.338,274.44,250.082,202.35,0,0,0,1,0,0,0,0,0,0,0,0,0
20190312,3.126,1.898,2.646,1.192,326.874,267.764,253.196,201.704,0,0,0,1,0,0,0,0,0,0,0,0,0
20190313,3.688,2.04,2.972,1.328,331.888,272.91,258.002,203.012,0,0,0,1,0,0,0,0,0,0,0,0,0
20190314,4.138,2.24,3.17,1.492,338.914,279.124,259.358,204.292,0,0,0,1,0,0,0,0,0,0,0,0,0
20190315,2.772,1.568,1.998,0.988,345.004,287.786,266.584,204.91,0,0,0,1,0,0,0,0,0,0,0,0,0
20190316,3.336,1.872,2.676,1.336,299.182,242.274,185.874,155.986,0,0,0,1,0,0,0,0,0,0,0,0,0
20190317,4.762,2.314,4.06,1.73,242.43,194.562,142.774,118.182,1,0,0,1,0,0,0,0,0,0,0,0,0
20190318,4.776,2.686,3.698,1.656,326.874,274.446,250.646,201.152,0,0,0,1,0,0,0,0,0,0,0,0,0
20190319,5.388,3.138,4.016,1.898,336.62,277.344,256.648,204.154,0,0,0,1,0,0,0,0,0,0,0,0,0
20190320,2.252,1.24,1.57,0.878,322.604,269.408,253.506,199.276,0,0,0,1,0,0,0,0,0,0,0,0,0
20190321,3.456,1.944,2.718,1.136,333.104,275.258,258.016,202.126,0,0,0,1,0,0,0,0,0,0,0,0,0
20190322,4.06,2.498,3.156,1.594,352.67,291.812,269.388,207.534,0,0,0,1,0,0,0,0,0,0,0,0,0
20190323,2.664,1.632,2.11,1.138,288.43,228.426,182.124,150.698,0,0,0,1,0,0,0,0,0,0,0,0,0
20190324,4.184,2.072,3.1,1.456,228.58,178.196,129.256,114.17,1,0,0,1,0,0,0,0,0,0,0,0,0
20190325,4.564,2.55,3.426,1.522,321.79,271.036,249.298,200.684,0,0,0,1,0,0,0,0,0,0,0,0,0
20190326,5.606,3.016,4.2,1.972,335.534,276.246,255.322,204.37,0,0,0,1,0,0,0,0,0,0,0,0,0
20190327,4.836,2.692,3.518,1.744,334.298,274.204,256.46,202.716,0,0,0,1,0,0,0,0,0,0,0,0,0
20190328,5.4,2.948,3.654,1.862,338.378,280.028,259.114,204.422,0,0,0,1,0,0,0,0,0,0,0,0,0
20190329,5.732,2.966,4.564,2.1,356.756,293.288,270.988,208.856,0,0,0,1,0,0,0,0,0,0,0,0,0
20190330,1.512,0.9,1.23,0.634,270.33,223.364,177.928,146.452,0,0,0,1,0,0,0,0,0,0,0,0,0
20190331,2.91,1.54,2.008,1.012,210.72,171.178,126.438,111.016,1,0,0,1,0,0,0,0,0,0,0,0,0
20190401,5.068,2.754,3.784,1.738,324.124,269.968,251.12,199.086,0,0,0,0,1,0,0,0,0,0,0,0,0
20190402,5.508,2.894,4.188,1.892,328.904,273.688,255.288,201.81,0,0,0,0,1,0,0,0,0,0,0,0,0
20190403,5.532,2.932,4.316,2.064,334.218,275.764,258.102,202.712,0,0,0,0,1,0,0,0,0,0,0,0,0
20190404,6.162,3.18,4.572,2.162,336.728,276.606,257.746,203.756,0,0,0,0,1,0,0,0,0,0,0,0,0
20190405,6.054,2.996,4.592,1.878,356.796,286.634,267.632,206.804,0,0,0,0,1,0,0,0,0,0,0,0,0
20190406,3.398,1.726,2.404,1.144,294.476,226.21,184.218,150.084,0,0,0,0,1,0,0,0,0,0,0,0,0
20190407,7.436,3.206,6.056,2.452,267.346,181.836,145.41,120.588,1,0,0,0,1,0,0,0,0,0,0,0,0
20190408,6.604,3.686,5.156,2.308,332.266,272.262,251.928,202.454,0,0,0,0,1,0,0,0,0,0,0,0,0
20190409,3.432,1.85,2.348,1.126,322.112,264.32,253.632,200.812,0,0,0,0,1,0,0,0,0,0,0,0,0
20190410,3.288,1.894,2.71,1.178,325.326,262.332,251.53,200.038,0,0,0,0,1,0,0,0,0,0,0,0,0
20190411,6.5,3.45,5.056,2.254,342.0,282.564,258.266,207.084,0,0,0,0,1,0,0,0,0,0,0,0,0
20190412,6.86,3.768,5.236,2.472,363.21,292.576,273.942,209.724,0,0,0,0,1,0,0,0,0,0,0,0,0
20190413,7.658,3.464,5.676,2.498,338.952,244.648,206.102,163.566,0,0,0,0,1,0,0,0,0,0,0,0,0
20190414,3.6,1.942,2.584,1.426,195.232,158.188,119.522,103.034,1,0,0,0,1,0,0,0,0,0,0,0,0
20190415,7.194,3.79,5.432,2.376,325.594,271.928,250.834,201.864,0,0,0,0,1,0,0,0,0,0,0,0,0
20190416,8.132,4.214,5.966,2.732,330.632,274.38,255.648,204.886,0,0,0,0,1,0,0,0,0,0,0,0,0
20190417,8.584,4.154,6.174,2.832,335.426,276.838,255.792,203.586,0,0,0,0,1,0,0,0,0,0,0,0,0
20190418,6.822,3.58,4.778,2.448,319.272,269.642,251.292,202.298,0,0,0,0,1,0,0,0,0,0,0,0,0
20190419,8.114,4.242,5.918,2.9,341.71,284.076,262.436,205.258,0,0,0,0,1,0,0,0,0,0,0,0,0
20190420,7.328,3.438,5.716,2.41,307.268,239.296,183.246,156.986,0,0,0,0,1,0,0,0,0,0,0,0,0
20190421,7.488,3.328,5.672,2.5,216.258,174.418,121.142,113.548,1,0,0,0,1,0,0,0,0,0,0,0,0
20190422,8.876,4.284,6.398,2.932,322.074,271.12,247.71,199.868,0,0,0,0,1,0,0,0,0,0,0,0,0
20190423,7.938,4.14,5.564,2.82,318.586,268.302,250.674,200.242,0,0,0,0,1,0,0,0,0,0,0,0,0
20190424,7.592,3.92,5.538,2.582,328.29,272.524,257.736,202.024,0,0,0,0,1,0,0,0,0,0,0,0,0
20190425,2.936,1.724,2.12,1.274,326.232,267.434,257.896,199.656,0,0,0,0,1,0,0,0,0,0,0,0,0
20190426,3.89,1.992,2.822,1.51,351.29,281.582,266.876,206.074,0,0,0,0,1,0,0,0,0,0,0,0,0
20190427,8.616,3.9,6.94,2.982,342.166,250.506,201.906,163.718,0,0,0,0,1,0,0,0,0,0,0,0,0
20190428,7.274,3.332,5.736,2.508,236.042,180.442,133.832,115.676,1,0,0,0,1,0,0,0,0,0,0,0,0
20190429,8.058,4.592,6.326,2.858,334.096,274.592,255.21,202.668,0,0,0,0,1,0,0,0,0,0,0,0,0
20190430,9.696,4.81,6.91,3.086,355.516,283.876,269.16,212.824,0,0,0,0,1,0,0,0,0,0,0,0,0
20190501,11.226,5.236,7.792,3.538,309.162,233.018,185.686,154.776,0,0,0,0,0,1,0,0,0,0,0,0,0
20190502,9.996,4.912,7.23,3.33,356.85,281.004,265.234,207.81,0,0,0,0,0,1,0,0,0,0,0,0,0
20190503,9.908,4.876,7.548,3.286,378.284,296.25,281.406,213.482,0,0,0,0,0,1,0,0,0,0,0,0,0
20190504,10.364,4.258,7.064,3.048,359.204,245.948,193.586,158.342,0,0,0,0,0,1,0,0,0,0,0,0,0
20190505,9.478,4.116,7.332,3.198,264.454,183.456,141.514,122.336,1,0,0,0,0,1,0,0,0,0,0,0,0
20190506,10.81,4.368,8.524,3.546,267.882,193.248,152.424,126.746,0,0,0,0,0,1,0,0,0,0,0,0,0
20190507,9.67,5.046,7.04,3.418,335.558,273.406,261.16,203.644,0,0,0,0,0,1,0,0,0,0,0,0,0
20190508,9.27,5.196,7.104,3.37,333.408,273.584,261.762,206.284,0,0,0,0,0,1,0,0,0,0,0,0,0
20190509,10.394,5.116,7.352,3.33,347.462,276.518,266.122,207.814,0,0,0,0,0,1,0,0,0,0,0,0,0
20190510,10.058,5.334,7.538,3.808,376.078,289.542,281.914,214.394,0,0,0,0,0,1,0,0,0,0,0,0,0
20190511,10.67,4.824,8.206,3.862,328.19,245.39,204.238,164.248,0,0,0,0,0,1,0,0,0,0,0,0,0
20190512,10.566,4.548,7.78,3.46,264.49,183.96,138.342,121.638,1,0,0,0,0,1,0,0,0,0,0,0,0
20190513,9.24,5.056,6.59,3.352,324.54,267.746,253.254,201.38,0,0,0,0,0,1,0,0,0,0,0,0,0
20190514,10.574,5.802,7.7,4.062,341.006,275.1,264.33,207.048,0,0,0,0,0,1,0,0,0,0,0,0,0
20190515,9.48,5.646,7.184,3.808,357.83,279.916,274.688,208.988,0,0,0,0,0,1,0,0,0,0,0,0,0
20190516,9.854,5.444,7.592,3.772,352.78,275.29,261.364,206.438,0,0,0,0,0,1,0,0,0,0,0,0,0
20190517,10.404,5.708,7.908,4.104,366.698,286.412,274.362,211.256,0,0,0,0,0,1,0,0,0,0,0,0,0
20190518,10.45,5.176,7.858,4.012,326.242,240.246,196.618,161.08,0,0,0,0,0,1,0,0,0,0,0,0,0
20190519,1.724,0.814,0.976,0.744,204.586,157.082,121.056,108.282,1,0,0,0,0,1,0,0,0,0,0,0,0
20190520,8.862,5.22,7.002,3.368,332.008,272.336,257.736,203.814,0,0,0,0,0,1,0,0,0,0,0,0,0
20190521,9.952,5.832,7.636,4.064,339.006,273.236,260.784,208.492,0,0,0,0,0,1,0,0,0,0,0,0,0
20190522,10.63,5.806,7.682,4.052,339.006,274.962,262.27,208.888,0,0,0,0,0,1,0,0,0,0,0,0,0
20190523,10.08,5.674,7.546,3.932,340.98,277.076,261.5,209.536,0,0,0,0,0,1,0,0,0,0,0,0,0
20190524,9.296,5.514,7.23,4.086,360.812,286.58,272.682,219.66,0,0,0,0,0,1,0,0,0,0,0,0,0
20190525,9.924,4.802,6.99,4.45,318.368,239.744,206.444,180.082,0,0,0,0,0,1,0,0,0,0,0,0,0
20190526,10.04,4.718,7.25,3.866,248.748,178.114,140.272,133.704,1,0,0,0,0,1,0,0,0,0,0,0,0
20190527,3.9,2.08,2.768,1.4,307.162,247.892,243.488,194.0,0,0,0,0,0,1,0,0,0,0,0,0,0
20190528,9.902,5.956,8.07,4.222,338.36,276.916,259.468,207.114,0,0,0,0,0,1,0,0,0,0,0,0,0
20190529,10.508,5.828,8.196,4.286,336.474,276.064,261.82,205.044,0,0,0,0,0,1,0,0,0,0,0,0,0
20190530,9.138,5.272,7.088,3.736,335.11,274.332,260.366,204.984,0,0,0,0,0,1,0,0,0,0,0,0,0
20190531,10.428,5.874,7.472,4.296,355.406,288.352,270.314,208.086,0,0,0,0,0,1,0,0,0,0,0,0,0
20190601,10.724,5.204,7.186,4.052,315.29,240.406,190.508,158.478,0,0,0,0,0,0,1,0,0,0,0,0,0
20190602,10.444,4.968,7.396,3.704,230.064,176.612,130.9,116.9,1,0,0,0,0,0,1,0,0,0,0,0,0
20190603,10.89,6.05,7.546,4.224,321.014,267.256,251.21,200.898,0,0,0,0,0,0,1,0,0,0,0,0,0
20190604,10.742,6.24,8.22,4.304,328.858,268.686,256.906,202.972,0,0,0,0,0,0,1,0,0,0,0,0,0
20190605,10.01,5.802,7.554,4.34,346.488,280.82,265.534,208.982,0,0,0,0,0,0,1,0,0,0,0,0,0
20190606,4.72,2.736,3.414,2.248,236.168,188.254,145.138,122.216,0,0,0,0,0,0,1,0,0,0,0,0,0
20190607,6.572,3.578,5.12,2.494,308.964,256.096,231.402,185.31,0,0,0,0,0,0,1,0,0,0,0,0,0
20190608,11.138,5.308,7.432,4.278,286.202,230.566,174.18,150.628,0,0,0,0,0,0,1,0,0,0,0,0,0
20190609,7.784,4.28,5.562,3.142,203.97,164.77,117.898,106.758,1,0,0,0,0,0,1,0,0,0,0,0,0
20190610,8.156,4.62,5.79,3.114,313.828,261.92,241.608,193.98,0,0,0,0,0,0,1,0,0,0,0,0,0
20190611,10.548,6.126,7.79,4.316,326.458,269.466,252.296,202.546,0,0,0,0,0,0,1,0,0,0,0,0,0
20190612,10.234,6.28,7.108,4.454,330.036,269.414,255.886,201.542,0,0,0,0,0,0,1,0,0,0,0,0,0
20190613,11.054,6.138,7.05,4.216,329.962,271.562,255.474,204.052,0,0,0,0,0,0,1,0,0,0,0,0,0
20190614,10.896,5.974,7.398,4.544,341.338,281.796,260.78,203.362,0,0,0,0,0,0,1,0,0,0,0,0,0
20190615,9.234,4.844,6.004,3.752,302.618,235.298,181.264,156.946,0,0,0,0,0,0,1,0,0,0,0,0,0
20190616,10.998,5.32,8.04,3.946,214.148,170.132,131.426,111.94,1,0,0,0,0,0,1,0,0,0,0,0,0
20190617,10.674,6.242,8.134,4.288,318.81,264.012,248.358,198.088,0,0,0,0,0,0,1,0,0,0,0,0,0
20190618,5.768,3.134,4.318,1.762,317.412,260.432,249.378,195.144,0,0,0,0,0,0,1,0,0,0,0,0,0
20190619,10.262,5.574,7.01,3.714,324.628,266.724,256.636,198.03,0,0,0,0,0,0,1,0,0,0,0,0,0
20190620,11.632,6.154,8.36,4.388,341.474,275.022,262.672,203.108,0,0,0,0,0,0,1,0,0,0,0,0,0
20190621,10.236,5.616,7.812,3.978,347.166,282.226,270.708,203.238,0,0,0,0,0,0,1,0,0,0,0,0,0
20190622,11.234,5.602,8.27,4.31,310.494,238.964,202.888,155.686,0,0,0,0,0,0,1,0,0,0,0,0,0
20190623,10.24,4.886,7.744,3.866,232.066,174.554,134.45,112.4,1,0,0,0,0,0,1,0,0,0,0,0,0
20190624,10.468,6.17,8.586,4.568,322.97,264.558,251.238,191.324,0,0,0,0,0,0,1,0,0,0,0,0,0
20190625,10.684,6.514,8.292,4.444,330.606,267.97,257.932,194.372,0,0,0,0,0,0,1,0,0,0,0,0,0
20190626,10.132,5.772,7.692,4.466,326.372,270.6,255.596,193.878,0,0,0,0,0,0,1,0,0,0,0,0,0
20190627,9.886,5.8,7.67,3.924,321.454,265.69,253.964,191.5,0,0,0,0,0,0,1,0,0,0,0,0,0
20190628,9.216,5.52,7.436,3.832,335.894,280.458,263.15,198.236,0,0,0,0,0,0,1,0,0,0,0,0,0
20190629,8.404,4.202,6.298,3.734,267.304,221.404,175.4,143.956,0,0,0,0,0,0,1,0,0,0,0,0,0
20190630,9.952,5.112,7.236,4.164,215.04,168.462,127.96,110.864,1,0,0,0,0,0,1,0,0,0,0,0,0
20190701,11.342,6.796,8.638,4.88,314.406,262.076,244.294,189.722,0,0,0,0,0,0,0,1,0,0,0,0,0
20190702,11.616,6.758,8.866,5.016,322.518,264.51,255.428,192.542,0,0,0,0,0,0,0,1,0,0,0,0,0
20190703,11.986,6.71,8.916,4.834,324.336,265.76,256.886,194.218,0,0,0,0,0,0,0,1,0,0,0,0,0
20190704,11.492,6.594,8.714,4.946,328.948,265.386,256.132,193.528,0,0,0,0,0,0,0,1,0,0,0,0,0
20190705,10.114,5.834,7.724,4.274,340.322,275.436,264.666,197.976,0,0,0,0,0,0,0,1,0,0,0,0,0
20190706,9.422,4.916,6.438,4.014,289.874,218.888,174.002,146.588,0,0,0,0,0,0,0,1,0,0,0,0,0
20190707,9.678,5.204,6.894,4.172,215.794,167.164,123.056,111.474,1,0,0,0,0,0,0,1,0,0,0,0,0
20190708,11.57,6.652,8.704,4.658,315.864,260.97,242.862,189.516,0,0,0,0,0,0,0,1,0,0,0,0,0
20190709,11.572,6.834,9.302,4.808,329.65,265.818,255.678,193.22,0,0,0,0,0,0,0,1,0,0,0,0,0
20190710,5.312,3.514,3.956,2.214,320.508,267.034,254.95,190.634,0,0,0,0,0,0,0,1,0,0,0,0,0
20190711,7.154,4.404,6.206,2.986,320.966,266.984,251.376,189.406,0,0,0,0,0,0,0,1,0,0,0,0,0
20190712,11.52,6.5,8.598,4.758,345.152,281.25,264.734,199.246,0,0,0,0,0,0,0,1,0,0,0,0,0
